courier_id,name,phone,city,vehicle_type,join_date,is_active,rating
1,Mireille BARKA,,Bafoussam,Voiture,2023-07-12,1,3.6
2,Gisèle MAROUF,687125015,Douala,Moto,2022-02-21,1,3.4
3,Constant NGUEFACK,,Douala,Moto,2023-05-22,0,3.1
4,Josephine DJOUMESSI,660932893,Douala,Vélo,2022-05-31,1,2.6
5,Guy ESSOH,669441885,Yaoundé,Tricycle,2023-02-16,1,4.7
6,Isabelle ABATE,643469574,Bafoussam,Moto,2023-08-15,1,4.0
7,Lydie ISSA,624394282,Douala,Tricycle,2022-08-24,0,2.5
8,Rémi MBOCK,,Douala,Voiture,2022-07-05,1,4.8
9,Sophie KAMGA,698664032,Douala,Moto,2023-07-29,1,2.9
10,Oumar OBAMA,693690185,Yaoundé,Vélo,2023-03-27,1,4.4
11,Marcel ABATE,655960222,Bafoussam,Moto,2022-11-18,1,4.9
12,Sylvain AMOUGOU,650217079,Douala,Moto,2023-02-26,1,4.6
13,Hawa BARRY,686630443,Douala,Moto,2023-06-25,1,2.9
14,Gisèle KENFACK,664177250,Douala,Moto,2023-03-18,1,3.9
15,Bernard NDONGO,655096754,Bafoussam,Moto,2022-12-14,0,4.4
16,Boubacar DJOUMESSI,645503243,Douala,Voiture,2021-08-09,1,4.5
17,Ornella ESSOH,686684189,Douala,Moto,2022-12-04,0,2.5
18,Solange ABATE,665270447,Yaoundé,Voiture,2023-02-17,1,3.7
19,Hawa NGOUFO,621538585,Douala,Vélo,2023-05-28,1,4.0
20,Boubacar TCHOUPO,697612023,Bafoussam,Tricycle,2021-12-13,0,4.1
21,Rabi TSIMI,615355273,Yaoundé,Moto,2022-05-01,1,2.9
22,Raoul CAMARA,621307564,Bafoussam,Moto,2022-04-12,1,3.2
23,Kevin TCHOUPO,,Douala,Moto,2022-03-29,1,4.7
24,Laure NGONO,652345317,Bafoussam,Vélo,2021-06-12,1,4.4
25,Suzanne KEITA,680753423,Douala,Voiture,2022-02-18,1,4.9
26,Wilfried ENGOLO,678383232,Yaoundé,Moto,2021-05-14,0,2.6
27,Armelle BALENG,690902233,Douala,Vélo,2021-06-13,1,3.3
28,Alain FOUDA,668066858,Douala,Tricycle,2022-10-01,1,4.1
29,Ghislain CAMARA,629069742,Douala,Moto,2022-03-14,0,2.7
30,Hawa IBRAHIM,,Douala,Moto,2021-08-24,1,2.7
31,Constant BOUKAR,665647305,Douala,Tricycle,2022-08-14,1,3.6
32,Mireille KOUYATE,632316956,Yaoundé,Voiture,2022-12-25,0,2.8
33,Boris BELLO,633486896,Douala,Tricycle,2023-04-10,1,2.9
34,Astride EKANI,624901836,Douala,Vélo,2022-10-14,1,2.7
35,Céline BELLO,653283028,Yaoundé,Voiture,2021-08-10,1,5.0
36,Hamidou ETOUNDI,,Douala,Moto,2023-04-17,1,3.8
37,Bernard FOUDA,611069409,Bafoussam,Moto,2022-03-03,1,4.8
38,Aline KEITA,641046609,Yaoundé,Moto,2023-07-22,1,3.2
39,Sophie BELLO,697816723,Yaoundé,Voiture,2022-02-06,1,3.9
40,Yvette ETOUNDI,682928151,Douala,Moto,2022-05-13,0,3.1
41,Modibo BARKA,622988945,Yaoundé,Moto,2021-06-04,1,2.5
42,Hervé BELLO,664531365,Yaoundé,Vélo,2022-10-08,1,4.5
43,Joël NJIEMOUN,664217362,Yaoundé,Moto,2021-05-12,1,4.0
44,Viviane TSIMI,678339028,Douala,Moto,2023-07-05,1,3.3
45,Hamidou TCHOUPO,684628296,Douala,Moto,2021-11-17,1,3.8
46,Fatima ATEBA,644672681,Douala,Voiture,2021-06-26,1,4.4
47,Raoul GARBA,627784386,Douala,Moto,2021-11-16,1,4.6
