customer_id,name,phone,registration_date,city,quartier,loyalty_score,profile
CUST11544,Luc ALI,646521025,2021-03-01,Douala,Akwa,19.8,Inactif / Occasionnel
CUST10713,MENDO Chancelle,639254705,2021-03-01,Yaounde,Mvog-Mbi,61.4,Actif
CUST10198,OUMAR NDONGO,651837852,2021-03-01,Bafoussam,Centre Ville,43.46415432929565,Actif
CUST10439,Jean BILONG,613326769,2021-03-02,Yaounde,Biyem-Assi,17.4,Inactif / Occasionnel
CUST12034,Armelle LOBE,659167775,2021-03-02,Bafoussam,Djeleng,25.7,Actif
CUST11045,Solange ELA,INVALID,2021-03-03,Yaounde,Nlongkak,4.0,Actif
CUST11961,Pierre NKOUAM,652358553,2021-03-04,Yaounde,Mvog-Mbi,74.6,Inactif / Occasionnel
CUST10956,ABOUNA Therese,626690465,2021-03-05,Bafoussam,Fomekoua,48.1,Actif
CUST10968,Pauline oyono,667985905,2021-03-05,Douala,Logbessou,23.2,Actif
CUST10442,TALLA Hamidou,665259205,2021-03-05,Douala,Mboppi,43.6,Actif
CUST11550,GASTON TAKAM,669330166,2021-03-05,Yaounde,Mvog-Mbi,29.7,Actif
CUST11059,Luc NKUISSI,646698468,2021-03-05,Yaounde,Mvog-Mbi,27.0,Actif
CUST17220,ABENA JEAN,645896226,2021-03-06,Yaounde,Efoulan,61.2,Inactif / Occasionnel
CUST11763,JULES MVONDO,696707983,2021-03-06,Douala,Yassa,43.46415432929565,Inactif / Occasionnel
CUST10309,Suzanne KENFACK,681286543,2021-03-07,Douala,New-Bell,32.3,Inactif / Occasionnel
CUST11595,Stéphane ngamouri,612515446,2021-03-07,Yaounde,Melen,24.9,Actif
CUST10845,MENGUE Pierre,647983442,2021-03-08,Douala,Bepanda,57.3,Actif
CUST10265,IBRAHIM Rémi,672092888,2021-03-08,Douala,Bonapriso,43.46415432929565,Inactif / Occasionnel
CUST17350,NTONGO OUMAR,625276327,2021-03-09,Yaounde,Essos,54.3,Actif
CUST11701,Sylvain NGOUFO,673837847,2021-03-10,Douala,Ngodi-Bakoko,74.2,Actif
CUST10063,Armel FOFANA,620709497,2021-03-10,Douala,PK8,40.1,Inactif / Occasionnel
CUST17278,Lydie dawa,678103759,2021-03-12,Yaounde,Melen,28.3,Actif
CUST11647,EPEE Baudouin,630517835,2021-03-16,Douala,PK12,38.4,Inactif / Occasionnel
CUST17362,TRAORE Gustave,664362516,2021-03-17,Yaounde,Madagascar,37.4,Actif
CUST10455,SERGE TCHAMBA,650962024,2021-03-17,Douala,Ndogpassi,60.6,Actif
CUST11261,Romain ESSAMA,625457816,2021-03-17,Bafoussam,Tamdja,36.6,Inactif / Occasionnel
CUST11956,KOUAM Boubacar,649385195,2021-03-19,Bafoussam,Famla,70.0,Actif
CUST10519,ETOUNDI Serge,699245317,2021-03-19,Douala,New-Bell,56.0,Actif
CUST11378,ABATE Didier,689034501,2021-03-20,Yaounde,Etoudi,33.0,Actif
CUST10067,Ornella KAMGA,647308985,2021-03-20,Yaounde,Emana,44.3,Actif
CUST10419,Gustave CAMARA,667684996,2021-03-21,Bafoussam,Tamdja,78.5,Actif
CUST11759,DENISE NKODO,627152188,2021-03-22,Douala,Kotto,12.2,Actif
CUST11167,Fatoumata KEITA,665304649,2021-03-23,Bafoussam,Pefura,58.8,Actif
CUST11897,TCHOUPO Ornella,612205915,2021-03-24,Douala,Yassa,30.5,Inactif / Occasionnel
CUST11915,NADINE ALI,680260907,2021-03-24,Douala,Nyalla,21.4,Actif
CUST10043,Boubacar MFOU,691030736,2021-03-25,Douala,Akwa,5.6,Actif
CUST10120,Norbert nguefack,639436733,2021-03-26,Douala,Nyalla,57.6,Inactif / Occasionnel
CUST11765,Djeneba KOLLO,666828640,2021-03-26,Yaounde,Tsinga,29.4,Actif
CUST10453,CAMARA Gustave,671780854,2021-03-26,Douala,Bonabéri,42.2,Actif
CUST11943,Carine ekani,657284777,2021-03-27,Yaounde,Essos,36.4,Actif
CUST10698,Cyrille DJOKAM,619209801,2021-03-28,Douala,Yassa,52.7,Actif
CUST10561,Mariama NGONO,692043803,2021-03-28,Douala,Beedi,83.9,Actif
CUST11152,Patrick sidibe,623489853,2021-03-28,Yaounde,Messa,11.1,Actif
CUST10483,Luc nkodo,652101056,2021-03-30,Douala,Akwa,24.8,Actif
CUST11568,Florent MONGO,690440034,2021-03-30,Yaounde,Biyem-Assi,43.46415432929565,Actif
CUST10226,Fatoumata NDZANA,641944441,2021-03-31,Douala,Logbessou,100.0,Inactif / Occasionnel
CUST10668,BILONG Jules,689442503,2021-04-01,Bafoussam,Mossap,37.4,Actif
CUST11999,Yvette ETOUNDI,623770458,2021-04-01,Yaounde,Mimboman,7.4,Actif
CUST10280,BELINGA Fatoumata,674606833,2021-04-01,Douala,Deido,14.8,Actif
CUST11173,Ibrahim cisse,691804602,2021-04-01,Douala,Ndokotti,39.1,Actif
CUST12013,Aline NDONGO,657319709,2021-04-02,Douala,Bonabéri,57.9,Actif
CUST10171,Honoré teguia,675579548,2021-04-04,Yaounde,Elig-Edzoa,83.6,Actif
CUST10012,CHRISTIAN MFOU,614265799,2021-04-04,Bafoussam,Baham-Route,43.46415432929565,Actif
CUST10628,Moussa mbarga,664707061,2021-04-05,Yaounde,Tsinga,27.4,Actif
CUST10976,Fatima FOUDA,688802305,2021-04-05,Yaounde,Omnisport,31.3,Actif
CUST10992,Stéphane obama,622246348,2021-04-05,Yaounde,Tsinga,63.2,Inactif / Occasionnel
CUST11859,Hawa NJIEMOUN,623298711,2021-04-07,Yaounde,Briqueterie,54.6,Actif
CUST10252,Pauline feze,618135295,2021-04-07,Douala,PK12,26.9,Actif
CUST11272,MBASSI Gisèle,645495029,2021-04-08,Douala,Ngodi-Bakoko,21.4,Actif
CUST11488,Laurent TRAORE,674718365,2021-04-09,Douala,Nkolmesseng,31.0,Actif
CUST11945,EBOUELE Achille,655439043,2021-04-10,Douala,Bonamoussadi,40.9,Actif
CUST11411,Norbert tchiemegni,675802771,2021-04-10,Yaounde,Ngoa-Ekele,26.7,Actif
CUST10141,Khadija ESSAMA,625374874,2021-04-10,Yaounde,Nlongkak,11.6,Actif
CUST10818,Modibo ABOUNA,659529086,2021-04-12,Douala,Deido,52.8,Actif
CUST10627,Gustave mengue,665682626,2021-04-12,Douala,Bepanda,45.5,Actif
CUST11520,Bertille mvondo,619339597,2021-04-12,Douala,Ndogpassi,43.46415432929565,Actif
CUST11379,TALLA Régine,653455870,2021-04-12,Douala,Makepe,9.8,Inactif / Occasionnel
CUST11346,Sandrine IBRAHIM,695831286,2021-04-12,Yaounde,Essos,43.9,Actif
CUST10563,Rodrigue SOW,671124923,2021-04-13,Bafoussam,Tougang,31.6,Actif
CUST11314,Carine EPEE,666254240,2021-04-14,Yaounde,Nkomo,39.3,Actif
CUST10140,OYONO Paul,611540956,2021-04-14,Douala,New-Bell,100.0,Actif
CUST10222,Eric NGUEFACK,614216175,2021-04-15,Douala,Deido,30.8,Actif
CUST17165,ONANA Raoul,687342561,2021-04-16,Yaounde,Biyem-Assi,13.8,Inactif / Occasionnel
CUST10779,Saidou BOUKAR,691917334,2021-04-17,Douala,Kotto,21.1,Actif
CUST10946,Rodrigue ETOA,645652586,2021-04-19,Yaounde,Omnisport,32.5,Actif
CUST10702,Christiane sow,643189803,2021-04-20,Bafoussam,Djeleng,39.9,Actif
CUST10338,Denise NGWA,642035886,2021-04-21,Yaounde,Etoudi,43.46415432929565,Actif
CUST11904,Christelle ASSOUMOU,667611469,2021-04-21,Douala,Ngodi-Bakoko,100.0,Actif
CUST11630,Gustave mendo,678515906,2021-04-22,Yaounde,Briqueterie,43.46415432929565,Actif
